address,balance
0x0eee9e35843468836d9df272ab85841859b0689f,6410348176143023140000
0xd186d8ed5acb7cea9d79be10f89223daa26d4998,6203284281519188241840
0x5110f133d5b5b9edd14c159eed981a29782a944f,5901699331753895432562
0x98598b21547d8e3051fcd7e2fd486afae8658d48,5884370244160000000000
0xccc6b719534354dbeb3749dd28434fa83920f2db,5426317854638533118596
0x7a6dcb5fe51b14b515aaa2a0a0c898c80a5bf098,5370366599420000000000
0x68c664d60ce296ec3afc6c39d18c0ec8c25900f2,4922790000000000000000
0xb110006387ae6e67e86fec7581a84508e4049138,4900000000000000000000
0xb50a8d8a6138a984f6093747a3eab5b1d2df91f5,4587060000000000000000
0x35b7ca800b5310674a060666d3e99c0ffa50fd2e,4414994337064052618271
0xee50391042f3d93deafb5dde4b07d6b837c3d33b,4360264100000000000000
0x4c6fa6e56461788a13b153d4fe1b72878a39485f,4326469260150000000000
0xec38b1008e434124a89db4a2c8e972f4a42d80e1,4297587044754470623634
0xe341f56668e48d55bb809b4c06c2cb3febcd2696,4228866421486952287945
0x753d0410d15b0a658c028e3c57fad2b9348e2d5d,4202859000000000000000
0x1f9730d6a1b45b76ae2919cb178160a6419920ac,4006358885845913581259
0xf1f62c800c5e42f028f82518a9fbd803d57d2762,3998470000000000000000
0x0ef32c4a54e6faf84b48d06c298ec285d8d87e7b,3889769466848063182253
0x33abfa1798051158a37dc72ff3ba24fc0bf56f1a,3797867418146781662228
0xe042bc21be2f61c25806bf9f1b67b5803a3cb9cc,3791477640570000000000
0xe6c8bd6703a6de900690149b9fb947db6155a94e,3775384220388754363777
0xdeb8fed82d25f51e29968ee6f9b1cef3dca69c90,3599436000000000000000
0x48e4a617442c72d24dd954e1f8f36267ec20e934,3567505780000000000000
0xacde2cf709d0ee9cf388819f8c4fc909d327b86d,3531100443068956754862
0xacd4e5fb6ef5dc71531e502cee0f9582ec8c2e55,3387407460000000000000
0xf69ead7e4a9a33e94a6a2b775bdc48b627409873,3252956000000000000000
0x18c3bb22518b53cdc8e6732fa14c402fc3dc65f5,3209356190000000000000
0x859911167c8e096399bc0a7c62a724081d7c29a0,3144076374709364417598
0xa1c86a70b24102357bac55ec87145fddff4819b5,3083885773308331029143
0xa67a20dfc73c86f6ba5f4438d8914e3f6780d397,3016808219491040733064
0x39b9c19a371ada128bef5413e25da405eda0e75a,2995129939346470816051
0xf0c803a98686f1f62c8e6794c8bf5884429bb30d,2861065138541862374054
0x414b3bf862c5bf972ab063ade60b153c6d942ab4,2850626695095925463116
0x869d6caa8485101c88f5179362fe9d27f73a7aa4,2804676310000000000000
0x688040253ae127519b14a5fcb7feab56ef15efd1,2793790180860000000000
0x59a0d34e234bcc58827405cff9c27407c5f34740,2750000000000000000000
0x0304e92b4af10883b406a8b2f2cbbaee87b2915c,2686964710000000000000
0xcb04fe798f05f117cee4a65673d74255a5234c89,2576550000000000000000
0x15c05abc6163892d424539ef1fca173f34fe0302,2557663677563316040471
0x24088c3389ab522008d5078e7aed5ac3debd9224,2532454170000000000000
0x0c1d108a552bc602629785e9354fe03750ab79e8,2379640883900501030534
0xaeaef5a1c0b34b8bf305122645f5503da2284bc5,2352310000000000000000
0x8faf5a2229d47a7338a18d217aa25f5191231495,2325000000000000000000
0xfd7d8d18f888ef046a82a60bfe3b3c8f048a34f4,2280831000000000000000
0x857da7fbd82d03276ccecb44eb25b3c0b3bcf0a7,2239691331000000000000
0x094326955668ace0d139872351b3363dda48a3ad,2125111000000000000000
0xf923a0512feb1438236fd5d79e640be7e2d96015,2110190000000000000000
0x683894c72385c558ac00cc89c2389d824c413a08,2093893000000000000000
0x43d42aa98d922a9b9f96d19c757bf1ff9b5efb6c,2026789540000000000000
0x2a6bbc9c17d2776812c09f4e5d2b6a83b0e75582,2015930648933756069357
0x59798b9bb1084a7b18ba1f4fcd188aaf04de2e69,2015736465520000000000
0x4aaa922bdc78b3984fb9f8a90208b40fbc0e1a91,2012970670380000000000
0x025f062f4e7719097a9e5ce998042b489cddcb52,1999300000000000000000
0x7d15f9b49bdc0ce720261478caea5dbd477e2d59,1998950000000000000000
0x54a5a4a492048080000ef50f90c69810716b207d,1937555307697477614356
0xc853ed23b315c1978054286035a07c13f5946376,1879120000000000000000
0xc7b0d63f853d2e60f580ff026611162c40669138,1854702330000000000000
0x62a36e7a19c81341b3d711992be5329dcc1e9c29,1830267750000000000000
0x2ce1c2426b74f469762249b5c75478d730f2601a,1809080000000000000000
0x782845fc706e399b5440bc102d1c05da30cbd2a8,1763915962011987312038
0x782a24d3a49945d8b2da9f798e7a028b67420aa2,1739128000000000000000
0xf7aab787787631d5d180b54b83747e6654e8f6b6,1731620000000000000000
0x96e40cc596d9f1f6d25d250acb2f5a25cccdda13,1694821322194970056087
