address,balance
0xd9592304de893e4e7481108f4d1f386a512c0cb9,760233431600000000000
0xa2df08f2e2c06c2dde71e38173aa73e135ca6835,755178638907114568353
0x6e63c56d5febb118d46ac6f7858141ce2d0c616d,741687095597057506399
0x460f4b4f73694cb4c3236c837b31cadac288e1c7,729355755593625579935
0x720475f2eb38a4df0160f7a5c8dbae1cd995bb38,722246044699259235983
0x4c4a5490deefefa16f49a1a48c9acdc60f4117d0,716800061300000000000
0x4026f4f60befabee590ccce82df3a1e28322ec87,689856909800000000000
0x5a04b1ec5c9404234bcfd7aac86927ffd1b4cb1a,677104902300000000000
0xa5c7b8811aefa3bb14d406f7d4665a4041f1f7d7,669599309615356312811
0x5d723eb1207899551ee1dc1b5511c26c8db36da7,656410311913005197905
0xd719d494803a73ee12b87b0d2d0350fca199f47c,649429272396842840099
0xac4f26062c6dfe46aa84b9a5c8a3a74d3c5f320b,649340611900000000000
0xffad791ad8955e619ae722de64ab72e6ccd84954,648468732552490054112
0xdc47e008f840d63fb9bdc995f60cbee3a638e04b,646484469300000000000
0xdab21f051e02b0ef9e8cc6e44eb9b7b407b20788,637940108600000000000
0x80c7c627c127b5d094580452469ee9ddf4fa17b4,637773861500000000000
0x2a9b271701d3e07596c8e1eaa48bfa920f1eb53b,635015860600000000000
0x12d234465961dd8813726064bf71d64c19e486c5,621674510168023374709
0x45007c8774d70ab858248d6f3d0db903c0cd4b9f,601014952400000000000
0x736ed51d11e8ced9ccfa229ab5b2cbc5dfd40d4e,598784405293734600712
0x7cb9fa2edbba7a8013f250b08d0c480aba176cea,591095760667050738443
0xbeac1b73d9341adaa44dc74ed35b7f9955bfdd17,571514274500000000000
0x420e4ae5ea2138a7215dfc6c4cec11f726067659,570001861709983221000
0xae4adeded4cafb19966d9a2f9f7eaaf008526456,540274193000000000000
0x36324137b87a99f3a777503dbdf88a4c9c15ed5e,538670936700000000000
0x21ddf70bfb842e9eed59df7af411fc602d7eed4b,537999999999994816000
0x68c81fdf2c21b333495408b83514f4006f6768c4,520000000000000000000
0xaaf85e898e8fa0cd14955726f50986500d057c55,515408585297245144485
0x3127b50d13192e3a2a145f9783f90a4f55aca18b,510173171200000000000
0x09cba7a42d174e0fcfabce462dd27db78bedfd5a,500000000000000000000
0x53cf72195eeabd562d2cacbcf3ff4851eec0c35e,500000000000000000000
0x61d9878da7c842b026a111c60a411bd0c54ef45a,495000000000000000000
0x504b90116b279a7b4ede186c8bf19859a0d0eb39,487000000000000000000
0xf5da0a103d57eaaad5c1bae57f128f3763a9f639,483937332100000000000
0xc4d59742bd702e92e746d44b3aa2b7c99a780325,481549656613602847323
0x689ca2d9beaca70b89afff84bc0c3bae78979b43,476261895400000000000
0x18fee6e511646b8ea2e4964277574f637bc03f3b,459535840927447409696
0x7fce987f2f034e58e5d3be47cc2ae92e8b473492,453591829200000000000
0x7d4f2ef3af049965859ab8add7553602f3fcd39e,450000000000000000000
0xa48235a4ef9b45ac4437ac3e2e53cd37cc5f34f2,444000000000000000000
0xeea60b0d0dcf4b242289ed92ef2cfc4592d12694,434679802880304073370
0x9acad96a1b83d92597491a4bdb152c1c943dd2bc,428310387300000000000
0xa0d087b189c05356a6783aacebcf35de61413bc5,412165013800000000000
0xb4f2aeff26aa538d1c4877837862b9949bd07f12,411377798993964657189
