address,stakedBalances
0xe1241ccfed33613c0590ab70efad81ade9e72d2d,18579957701265725565228
0x7b7810267f0bc89124eeab093805c2fe6516449c,2564530572722052556249
0xf976a7fe50c8388ebe1445db484c1be5efa8a9b4,2370000000000000000000
0xa2df08f2e2c06c2dde71e38173aa73e135ca6835,273000000000000000000
0x8dd0eb4ac9b49e2193a73d0f77f431acc0af1b37,17475791139743247838957
0xde79fa44e6a37f437b2dc74e81e3958abe9f000f,317507930300000000000
0xb7d775e7151d0ff4039a641dae1cacc0635d72c3,1178752507380755477448
0x148afbce5ce5417e966e92d2c04bd81d8cb0e04e,32394438223374179700423
0x34f45b40658acb1a6e5f5ce992ff9ef659f63dba,25400634420000000000
0xa558caf830cb335a0270f6eae4aa9ac22cec9ce4,225226263511128741204
0x08af2be6e1e92d6f612106dffff474bb1b482e79,82146017681649612184283
0x6db82468a924f70ef0830935bd3276bf0f823e01,350864900000000000000000
0x534cc085c59f3a2d03e82f35d035dab568d8de64,2298396777314290378079
0x71bda34192d17ec075ce3c21e6cb13a6be9d71d9,8810988644686211886767
0xc07496f47e4099c313d5661245321a1687f7baa9,50000000000000000000000
0xf9a03f00e0779d14ebdafa684cfccc4ba077692b,-13252182616076635419
0xd5ac47018750e3fcb96bb28120f4d2564f8f653a,14337986280124294158922
0xa35364447d379f270f9da22fdbd4b8d4b03c9523,9000627754175773408732
0x2280bdcde72eeddaab71acd059201d03bcbeb30d,358136000000000000000
0x33c20ea6918964809197bb7b98839cda3c872f72,1860418558975191718677
0x9eaeae00ed1a04bd60442e37ef9400e8ec7a36cd,249509117486240631563
0x29eceeafdfff73e125c2fb93cde3e6bb6f1b602c,15300000000000000000000
0xe3bc2a002640eaf1bf657dbd8ef38c0329f11f7b,4630610000000000000000
0x5e117c7b0b6801bd91b1c11bf4d9820e16ca03a7,381935221918219677457569
0x5bc124b3f28c301f497d3d44eb5c3225651143cb,323007801163745185859641
0xc5b46e23ee6603fa80eefa4331149603838f89c1,4890124070819877905274
0x5c9c4964261acac8f942f795cb41d337bac9d2f2,11750429641989980301116
0x2cc57a407ad39364a080fbdf9f619d54d3830b91,1478235321182140954813
0x540f9ea55a2104fe7eafc08391d17dfc0440167c,118309796943186859009546
0xec068827dc30ee26be0e9b8075919d7a7d33099a,60000000000000000000000
0x997202adee11ebeb3d5b6b3c0b3b2b3f3002bc31,10101000000000000000000
0xae3c0d48f8fcf4bb35c344a7f695020a545d625f,6278612633372326919651
0x7dec7d0bb9f27988c005b0fe6e9fd88b22250f08,212587235248966956172
0x302e7ea58bcb5f13c0eaf7ce3675b4fa5c7cb1bc,1287871589565640357074
0x4e0d7cb37ddd8cfa5786455b04acf8871a229242,69001864319307672501364
0x217d6c731f69230b42a0b0e68ba6885abe4cb3a5,17114365231140000000000
0x65c1425bf0067d3855b72da10b2040c2e4942675,5705446871651798532144
0xaa884bfc4b6decd8002e20e21acb126e4c985a4b,900000000000000000000
0x980aa416e2d67fc97c671162d8ae261c105b2043,140225687365910000000000
0xbeaec462ff66e954f2113ab0fb79df6df9489e1f,13342540500000000000
0x813df9e9496063e17357318d69dae274558d13c9,8106587385091256359305
0x83183acf489bff08e5157c3bacf48b98a4f48c48,17720054090000000000
0x3ca215944b3a8f3dd3280e180bb2aa7248043392,101748591300000000000
0xbe2d86b6973a6f10c778aac33bbf50778cb5209d,98655965305546667723400
0x64d38379117a4eea1905d0031f674e146957adca,111338080825114605694515
0x55802e0bd202eccade61fc1cc6665ba996ed9cbe,28249978080441847541
0x5df954729806f91bc1e72ae87142b639e9b1f7f2,101893554791243410932142
0xc8e27ab15e9500f792fd7264effaf32274a4c12e,96876755389815445711
0xdcf646e6a54dbd980ad57220c78e8b22a6732414,121229660206557072914
0x1fbcee2124ba22a6a9940f553eda6a2df14bf7a8,5000000000000000000
0xe1ed8a8cd6160f7ac8d597b64ba8ce473577e585,13701097483935195578109
0x9175e4c88fd1328b8e3e67f7d01d7b9272cb166b,69999703360000000000
0x0b6bf854cb7c816518a96317893e43ab219bd365,28253436964033863348304
0xe228c1d22cd951ec63fcf9bcbe7d43a5d3c1d04e,3825050864384172300328
