address,stakedBalance
0x47a3c5a68095363cbb6a2d1949f1e9ce104b8d2c,2083423483059192201629
0x00f2654805b4d6df5d5065c5773f15a5a7ed1a7c,2048028915154705139106
0x8645a176d1df7c43bba6945d354f91d0ef18c95c,1952096235350288860144
0xe1ed8a8cd6160f7ac8d597b64ba8ce473577e585,1929105848122935681085
0x23abd34ac3c08b261196c5061d04a613d18dd2db,1906636422584599289388
0xa35364447d379f270f9da22fdbd4b8d4b03c9523,1899076462706059776859
0x2ad44e242e39cca4951de2aedb4a7abecc8b6a48,1868383845694539673972
0x71bda34192d17ec075ce3c21e6cb13a6be9d71d9,1802888677676729808286
0xe73abb7fc4d94548afc17c0c819c23d1bfb053cf,1725667928955914773084
0x6df950dee3e3da46818879c413e55751a8a7cafd,1656802358667587485946
0x75894b28da2ce081cf0a31b31734bafddf1ae47a,1528624720893205465589
0xc0f83bc5065755334f624fe35804f27aa1aa049e,1488123924901583621317
0xbb746508b8a8ad4f943f01e0c92a676c9d3fbb59,1469000497039293208896
0x1b29b833cdc4a81345633749dc70eb6ec16a418c,1323317933727602180192
0xae3c0d48f8fcf4bb35c344a7f695020a545d625f,1314877455990899980717
0xe59720416bf94eb34c296e9d7e3d2bf1e18a649f,1304223041603600413655
0x24a8c6a987c8249bf507dd7638bd832b11a5b65c,1264944337756042223858
0xc448dd61701b0654ebcb7026cca7bd91180523b0,1240481752211619886826
0x84411e36f57516f3b359d9afbcada418f07bbccc,1079615104108621362874
0x8a1d03f13f7de4ae4ae9986c804c959b9ed29bfb,1066918949842431513603
0xe6de89d4e35c72489e3254c9002776c68756ffbf,1032229550557930872631
0xc5b46e23ee6603fa80eefa4331149603838f89c1,999547326648746489087
0x75067baa9365f7af33d1f332642d6bfeba7b77c5,990763138208034624567
0xe3bc2a002640eaf1bf657dbd8ef38c0329f11f7b,940940007204757999390
0x7b7810267f0bc89124eeab093805c2fe6516449c,913931038187835628014
0x91c8c091d0e421e236f9bc14df47588532921100,912682628090718698385
0x4c4d3e5a620a48273487d6cdd5c135ce11a2f798,889535585909368846624
0xe228c1d22cd951ec63fcf9bcbe7d43a5d3c1d04e,775535500778807510766
0xd53904714529d1aa81b305118d707cd2d1da3d22,746894910053403606275
0x5419b3c411bb0c52dea99eed1c00f5089bf16cfa,696006521816831204513
0x3c9f22869d325f1bc9acf2844b1455a4b6e22ac9,691657874247949448069
0x11f77d97b12a2b47b0ea851dbce41a4eda5b7a7b,666394907880840113807
0x1ed7da3cc0667195def46f8f3f17a582d32342e8,653751217406531115701
0xff73813f00a34920c631e5b3cb50bedc03e51063,634486608426397497670
0x16910c4ab223e2ae1b9080635c1e38b150a6c500,634153233887643618827
0xe427581d0b039e228e69bb452ece7e9a17494a02,633913707478257885611
0x70371965f6df67622f8097e77a0a71290eb09cf6,626952474875884785918
0x403991744ee359971ddef35ed540ef837373af73,582556570642976483453
0x51a59a3a9a31f3a7d9d1675b18d0369a52dfc08c,579058633357708207442
0x6e563ce4605d3f24228e467a3efadfa7dedae305,577951393051516064512
0x1d0fb863e133617962f09509758771933dbb0b4a,565523873936270892798
0x4d536537f8452d92d51887ea4868a8cac0979372,558611743127906410044
0xa5787283ea37d7321ef8b3e0e21644bc064bf39b,556906915991578168759
0x5d43155b94e2b41accca3273a2e91f9a3c7873d9,546837933555055368909
0xc6c9d802bc16d8746aafcac4781f9a8d442d585d,535377855077398272581
0x7237592de299355d1e284c003e232b415ef817f4,527434973288919385359
0xb15eebcb8761f9884c613e64629630852a49ae58,512984244536614283192
0x534cc085c59f3a2d03e82f35d035dab568d8de64,469718002171411879024
0x48eef9794640a46c940d10afcaf528cf9e577096,461516485290881112513
0xdb48422f119c1051a32964b93e5d340a69cd5a85,433442546774510413928
0xa8b51e0b7080c50508cd1c324c718f507eb87e65,416029806479804508065
0x12fd06f33d6a573f949cbd1984ccef2c298a0b7f,404166327638836867155
0x33c20ea6918964809197bb7b98839cda3c872f72,372970578466889750992
0xfa041dd9ebf4acc97b00998b212b4b5852bcd805,372397585335126979146
0x091e26376f89d0c6a97467cb57eae050a43821dd,365287974475006696472
0x4d26f0e78c154f8fda7acf6646246fa135507017,352397942271500291577
0x125ad150043f25a8c0a09c8b82ac2a26eaac1400,339361573716570315661
0x2cc57a407ad39364a080fbdf9f619d54d3830b91,337498656925171951963
0x673e0e8a00c1fbbe0c06d7a7c541616942c98091,335585650262892345243
0x29195aaff225f1638d3d7e2d7a9a99414b4acece,314714208979613008783
0x9f9d4c4d41f3b3343d6e0f38c451e6eb68f2bfd1,312696544113095872693
0x4bc358a3486cee4a7beb4828621d39b10fec353a,301033059155883284469
0xb7d775e7151d0ff4039a641dae1cacc0635d72c3,293189358776941890003
0xf0d0dfa597823d631df1aed65fd716fbe4c4fb49,289222759502884620352
0x43c310a59caa298bb772240790cf3faac4ab39a4,287552897993829235877
0xe355b0b248c4518c68bbf0c8905838cd5e1c3621,268743117561982771747
0x302e7ea58bcb5f13c0eaf7ce3675b4fa5c7cb1bc,258760150435105651264
0x2dabb00f401d0c9c12e6367f0b22290c5b84b205,252614584730858279701
0x59237e1c8423e18b2616f14cb4af94f999a8952e,238175804607663710441
0x6482a07ec9b8ed76cf7989d19d39d508cfb5e875,229565149712652776926
0x3927b1b72e2d9743864e7e4cc92455eac9a5ba58,210985258610330238512
0xefb1811c6df16f684ce94fc9f6bef4b9cfd8b1b8,200630528948456475285
0x7c80c96e7b4938f3572f76f10a23ce57e2cbf5bd,190086380344263197818
0xf849c3169e095a54ed49f7ba1e94f1102c356988,186415793721558052745
0x38a46ddd92186d411d01688f8425e921c5bc5043,185311353681585618626
0x0d8751c9f081e93776e8baa91b1cb932116e3956,177424358254954234501
0x083ea0f42d0a81d26e63e6659ccf9537df64365f,172411445855315409574
0xcf7db3a92ee388928c726981dac328585063b0b5,150635279380529970868
0x71e2dc8cea6710f0b1d6867f6e19a683ad67cce4,113540047869075821466
0x44b726bcc24af85bcc6d51c545bfda3ca1e17dfc,113099038589501208112
0xf14d24076f00b785d12629e90bcbe530d62777ee,109453749704489200922
0xe499df74050aeb210499668860473ebc07efb073,105481981302183137525
0xf5f1bb38943eaa7d0fa2fdbadc48b8240c44ff4e,102454475349238559432
0x3e703982e25b0bf5a6b301cf6d776044acea8ca5,94726613988258874298
0x53bfe0ab71576a3e5a9de6648621d2aa9f5b14a9,92098828217628817272
0x1b14945a862d1c7acdc0917040c71668df4719cb,91570843544385757388
0x15ed8bbbe331bae9131e4c5282717e82dc0d9cd2,89482004383286079828
0x8e57fb914b3c718c71e75825c9a48400cc2907cb,81180687009058018512
0x812e9131a67543408f35476660ac36f358d31f84,80562474694377684151
0x19815bbe01cd7de11db29ae43b3ae8ebb687eff5,77790455833708913138
0xfc2d21b98307a69c55d4eff761e6fd59b9338cb9,75012180928168758133
0xbe3784e99faa41a57ec7433da8f39c15ade7e947,73849236562025020695
0x1f1e47b4aa15b22f1ccb489f4ad1ef1ce9f27ddf,73606867562167229303
0x2280bdcde72eeddaab71acd059201d03bcbeb30d,72764879137527243187
0x1843001729e1c8383f9a103bd17b00be83789e94,70347842708331757222
0x94a12f8b8bbe3d83bf26539cc02efd2eaed40c7b,67169423616853616442
0x1a20f4114268870bfcb96b984f61259d78261d3d,61942001872386766788
0x401c0f82117b3262b79a7697bf98bbd7c0d4e36c,61113750187328864469
0x1911800e707efc56557a19ebd1ad00770f0ef0e6,58467233057532508375
0x8cbf96319b3c56d50a7c82efb6d3c46bd6f889ba,55811091908825614813
0x5cec07e90f6468962d4c46d54143b076119bbb74,51480106398543738876
0x7dec7d0bb9f27988c005b0fe6e9fd88b22250f08,44354537597450411619
0xc8e27ab15e9500f792fd7264effaf32274a4c12e,41324273261895454891
0x0b95b4e660e2a902dc769db85ce1f10eb1008433,40171154092858315929
0x956f1ce3ff2ea59a8b41df83ce9f85ed59d73f92,37842737730228833055
0x851497cf9b1362858c095cdd577b506d24f57336,37343308603819187444
0x644fd7eceebfd677114ac3fa7b992a3d4b0fb66d,37252132785814833629
0x52d49ac444e7fef91b77b112cc5702d6332cd138,34639731842515275467
0xa558caf830cb335a0270f6eae4aa9ac22cec9ce4,34569585967286039262
0x35da61143072716e9ca1dc688e9b04145314e8d1,33620438207541082423
0x54b07b75295062763e152f87b03094212be68022,32994528787344681755
0x4e81afc57c4d32e6dfc393ba7439ce08ecc8c263,22464918170278780625
0x3f17cf5336d1a0efe6b2b447dfd3b1f23e26c6ca,21192795570817877205
0x3ca215944b3a8f3dd3280e180bb2aa7248043392,20622615350084489184
0xd49f2de32d89191a74ec31107e293496a984aac3,20180529833211100172
0xe244279f5a5b95c010fe4c41e094596ae9f7ae2f,19590085290521224398
0x9b6da067d293f49e7aa50142b930ed01e4c1c661,19371432873823519163
0x331cbe58a41cca31828c6b4e18b5e255c7354d6f,19016788190795003839
0x93f48017633c1b9099f25c8840aea08f9057ee0f,19005097118754588052
0x2b1e65441cbbcfb1b91d987e63642911991f2afa,18830542543052448800
0xc47456378bdba2b64517af199f07bbca45138760,18730530751540169240
0x528c5995a6b6fbe70ba1213e6830fdc0fc034a7e,17907064164485662597
0x1e6b5986852ad914c5f3a7d3fa19478d6371053e,16947857384343870744
0xafdd538b66788131fde8e3e442a5a09ce36de331,15646549609192230796
0x08fd1d69829f9b77ba73ee81144400a5f6ee7a4c,15365447170166960663
0xc9379c6589ba986f18a43959f6769e6071771a26,14580086149854888057
0xc897925222be6c25a1569e18d2ff0558ae616db0,14274157826520830248
0x9175e4c88fd1328b8e3e67f7d01d7b9272cb166b,14113988815004906600
0xbb4398de51a038a4b25c091adfd4892d9664a64f,13054777096028972447
0xdd02917cfca99664d29911e0aef1c7ecb2c16d11,11759629709426000718
0x4aa60959b1571e62f9b353937c3e45978fd07713,9301708254568952070
0x7c1b928a3dd22c5f75dbc9f87c8839fee03d31f3,8704390831589372411
0xcc6d066a1c93c193727e42b38d6078998607a962,8591063643979763306
0x8a59eac23e03aaa2fda3d421f9a0de5505a41212,8061867323081194441
0x4f28992bb4263acd0f88cce240bbda623562e357,6958110531795079543
0x3993fd40dba0041b1aae7f3d0cc7401b36654b5a,6582576686167690166
0x86e2efad1d1993b842ee02269a9880c94b381e1f,6466278305766183507
0x75c98e92eac409963e27efc75d2bf556d8a7878f,6446130176219715807
0x3b393677c82ab62a569b1a8a09e937c4ed084958,6329856929559484123
0x21ddf70bfb842e9eed59df7af411fc602d7eed4b,6000000000000000000
0x10174ca8cbbb4479e7345a68d824923421246777,5957752073847673846
0x55802e0bd202eccade61fc1cc6665ba996ed9cbe,5775390916061774593
0xb2938bd4c7854c0709c2fefefe1284fb24133d19,5522598608068577093
0xa8172a3a34fdb1ef39ab4ebcfc8af096d7b583a4,5501558892723302718
0x9b2e1e038ac345c7d8b71cbc42ca8dfe1648dcad,5291568086066390230
0x19b1234dd6b66699642444bb3448978530fda875,4971938671969555082
0xa0fb57a61cd8a0fd841daf13cea87a7fbedb2cf3,4193088831980233610
0x8334ebdf93d4953f924863606c621f60f529bf0a,4136270279045450761
0x47345e68d13e9a900b3ece29fc2a6f35b20c5640,3953789194581713277
0x83183acf489bff08e5157c3bacf48b98a4f48c48,3600201164956502012
0xb3549a1999cea0801f043294164ff9820bb29999,3229337392591507025
0xa3a62540b6220631db7776c83274de615d9af7a9,3144778128506028735
0xa118981515a9e347bcaf5500e40be1f19bdcd0b5,2848337964731290450
0xbeaec462ff66e954f2113ab0fb79df6df9489e1f,2660175802341952833
